feature,importance
Delivery_rolling_mean_3,0.28066954
Delivery_lag_2,0.15721898
Delivery_lag_1,0.14599432
Delivery_rolling_std_3,0.13336354
Price_per_km_range,0.027276134
Range_per_kWh,0.021327566
Delivery_lag_12,0.020948533
Price_per_kWh,0.020390123
Delivery_lag_3,0.020268986
Range_km,0.019898165
Month_sin,0.017537538
Month_cos,0.017382463
Year,0.017065035
Market_Maturity_encoded,0.01705816
Charging_Stations,0.015706971
Model_encoded,0.015272517
Avg_Price_USD,0.014719626
Region_encoded,0.01465349
Quarter,0.0138217
Battery_Capacity_kWh,0.009426693
